Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR4	H	5	5	21	1	1,29	2	4425
CR4	H	5	5	21	1	1,29	3	4240
CR4	H	3	5	21	1	1,29	1	2692
CR4	H	3	5	21	1	1,29	2	2724
CR4	H	3	5	21	1	1,29	3	2642
CR4	H	1	5	21	1	1,29	1	833
CR4	H	1	5	21	1	1,29	2	839
CR4	H	1	5	21	1	1,29	3	846
CR4	H	0,5	5	21	1	1,29	1	432
CR4	H	0,5	5	21	1	1,29	2	448
CR4	H	0,5	5	21	1	1,29	3	426
CR4	H	0,2	5	21	1	1,29	1	160
CR4	H	0,2	5	21	1	1,29	2	159
CR4	H	0,2	5	21	1	1,29	3	159
CR5	H	7,5	5	21	1	1,29	1	7600
CR5	H	7,5	5	21	1	1,29	2	7731
CR5	H	7,5	5	21	1	1,29	3	7472
CR5	H	5	5	21	1	1,29	1	5545
CR5	H	5	5	21	1	1,29	2	5554
CR5	H	5	5	21	1	1,29	3	5508
CR5	H	3	5	21	1	1,29	1	3620
CR5	H	3	5	21	1	1,29	2	3786
CR5	H	3	5	21	1	1,29	3	3708
CR5	H	1	5	21	1	1,29	1	1413
CR5	H	1	5	21	1	1,29	2	1508
CR5	H	1	5	21	1	1,29	3	1498
CR5	H	0,5	5	21	1	1,29	1	637
CR5	H	0,5	5	21	1	1,29	2	649
CR5	H	0,5	5	21	1	1,29	3	662
CR5	H	0,2	5	21	1	1,29	1	278
CR5	H	0,2	5	21	1	1,29	2	203
CR5	H	0,2	5	21	1	1,29	3	217
CR6	H	7,5	5	21	1	1,29	1	7760
CR6	H	7,5	5	21	1	1,29	2	8267
CR6	H	7,5	5	21	1	1,29	3	8141
CR6	H	5	5	21	1	1,29	1	6019
CR6	H	5	5	21	1	1,29	2	6087
CR6	H	5	5	21	1	1,29	3	6020
CR6	H	3	5	21	1	1,29	1	3938
CR6	H	3	5	21	1	1,29	2	3791
CR6	H	3	5	21	1	1,29	3	4023
CR6	H	1	5	21	1	1,29	1	1614
CR6	H	1	5	21	1	1,29	2	1621
CR6	H	1	5	21	1	1,29	3	1668
CR6	H	0,5	5	21	1	1,29	1	790
CR6	H	0,5	5	21	1	1,29	2	809
CR6	H	0,5	5	21	1	1,29	3	820
CR6	H	0,2	5	21	1	1,29	1	301
CR6	H	0,2	5	21	1	1,29	2	245
CR6	H	0,2	5	21	1	1,29	3	241
