Strain	Bead	Day	Dilu	Trial	Count
CR2	C	20	3	2	13
CR2	C	20	3	3	29
CR2	L	20	3	1	104
CR2	L	20	3	2	29
CR2	L	20	3	3	46
CR2	H	20	3	1	68
CR2	H	20	3	2	0
CR2	H	20	3	3	108
CR4	C	20	3	1	49
CR4	C	20	3	2	67
CR4	C	20	3	3	19
CR4	L	20	3	1	94
CR4	L	20	3	2	85
CR4	L	20	3	3	96
CR4	H	20	3	1	29
CR4	H	20	3	2	2
CR4	H	20	3	3	14
CR2-CR4	C	20	3	1	76
CR2-CR4	C	20	3	2	184
CR2-CR4	C	20	3	3	122
CR2-CR4	L	20	3	1	62
CR2-CR4	L	20	3	2	106
CR2-CR4	L	20	3	3	14
CR2-CR4	H	20	3	1	0
CR2-CR4	H	20	3	2	48
CR2-CR4	H	20	3	3	26
CR2	C	21	3	1	86
CR2	C	21	3	2	11
CR2	C	21	3	3	24
CR2	L	21	3	1	74
CR2	L	21	3	2	49
CR2	L	21	3	3	67
CR2	H	21	3	1	82
CR2	H	21	3	2	0
CR2	H	21	3	3	114
CR4	C	21	3	1	30
CR4	C	21	3	2	76
CR4	C	21	3	3	15
CR4	L	21	3	1	92
CR4	L	21	3	2	90
CR4	L	21	3	3	102
CR4	H	21	3	1	22
CR4	H	21	3	2	1
CR4	H	21	3	3	10
CR2-CR4	C	21	3	1	104
CR2-CR4	C	21	3	2	148
CR2-CR4	C	21	3	3	71
CR2-CR4	L	21	3	1	58
CR2-CR4	L	21	3	2	102
CR2-CR4	L	21	3	3	11
CR2-CR4	H	21	3	1	1
CR2-CR4	H	21	3	2	62
CR2-CR4	H	21	3	3	33
CR2	C	22	3	1	40
CR2	C	22	3	2	14
CR2	C	22	3	3	36
CR2	L	22	3	1	92
CR2	L	22	3	2	70
CR2	L	22	3	3	98
CR2	H	22	3	1	78
CR2	H	22	3	2	0
CR2	H	22	3	3	108
CR4	C	22	3	1	22
CR4	C	22	3	2	87
CR4	C	22	3	3	10
CR4	L	22	3	1	116
CR4	L	22	3	2	82
CR4	L	22	3	3	92
CR4	H	22	3	1	22
CR4	H	22	3	2	1
CR4	H	22	3	3	28
CR2-CR4	C	22	3	1	78
CR2-CR4	C	22	3	2	89
CR2-CR4	C	22	3	3	74
CR2-CR4	L	22	3	1	86
CR2-CR4	L	22	3	2	150
CR2-CR4	L	22	3	3	13
CR2-CR4	H	22	3	1	0
CR2-CR4	H	22	3	2	70
CR2-CR4	H	22	3	3	32
CR2	C	23	3	1	16
CR2	C	23	3	2	16
CR2	C	23	3	3	38
CR2	L	23	3	1	78
CR2	L	23	3	2	82
CR2	L	23	3	3	164
CR2	H	23	3	1	102
CR2	H	23	3	2	0
CR2	H	23	3	3	120
CR4	C	23	3	1	17
CR4	C	23	3	2	97
CR4	C	23	3	3	6
CR4	L	23	3	1	92
CR4	L	23	3	2	80
CR4	L	23	3	3	94
CR4	H	23	3	1	30
CR4	H	23	3	2	0
CR4	H	23	3	3	28
CR2-CR4	C	23	3	1	92
CR2-CR4	C	23	3	2	58
CR2-CR4	C	23	3	3	122
CR2-CR4	L	23	3	1	100
CR2-CR4	L	23	3	2	174
CR2-CR4	L	23	3	3	21
CR2-CR4	H	23	3	1	0
CR2-CR4	H	23	3	2	70
CR2-CR4	H	23	3	3	52
CR2	C	24	3	1	24
CR2	C	24	3	2	35
CR2	C	24	3	3	52
CR2	L	24	3	1	66
CR2	L	24	3	2	92
CR2	L	24	3	3	154
CR2	H	24	3	1	64
CR2	H	24	3	2	0
CR2	H	24	3	3	128
CR4	C	24	3	1	6
CR4	C	24	3	2	94
CR4	C	24	3	3	2
CR4	L	24	3	1	92
CR4	L	24	3	2	80
CR4	L	24	3	3	108
CR4	H	24	3	1	22
CR4	H	24	3	2	0
CR4	H	24	3	3	18
CR2-CR4	C	24	3	1	122
CR2-CR4	C	24	3	2	76
CR2-CR4	C	24	3	3	106
CR2-CR4	L	24	3	1	76
CR2-CR4	L	24	3	2	120
CR2-CR4	L	24	3	3	28
CR2-CR4	H	24	3	1	0
CR2-CR4	H	24	3	2	98
CR2-CR4	H	24	3	3	70
CR2	C	25	3	1	30
CR2	C	25	3	2	43
CR2	C	25	3	3	60
CR2	L	25	3	1	52
CR2	L	25	3	2	114
CR2	L	25	3	3	136
CR2	H	25	3	1	66
CR2	H	25	3	2	0
CR2	H	25	3	3	142
CR4	C	25	3	1	5
CR4	C	25	3	2	95
CR4	C	25	3	3	2
CR4	L	25	3	1	102
CR4	L	25	3	2	103
CR4	L	25	3	3	122
CR4	H	25	3	1	23
CR4	H	25	3	2	0
CR4	H	25	3	3	30
CR2-CR4	C	25	3	1	98
CR2-CR4	C	25	3	2	50
CR2-CR4	C	25	3	3	104
CR2-CR4	L	25	3	1	106
CR2-CR4	L	25	3	2	118
